team,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,weighted_home_wins,weighted_home_draws,weighted_home_losses,weighted_away_wins,weighted_away_draws,weighted_away_losses,form_last_5,form_total,strength_weighted_form
AFC Bournemouth,9,5,3,1,16,11,5,18,4,1,0,1,2,1,8.0,3.0,3.5,4.5,5.5,3.5,"[0, 0, 1, 0, 1]",2,-2.0
Arsenal FC,9,7,1,1,16,3,13,22,4,1,0,3,0,1,9.5,4.0,1.0,7.5,4.0,2.0,"[0, 1, 1, 1, 1]",4,21.5
Aston Villa FC,9,4,3,2,9,8,1,15,3,1,1,1,2,1,8.5,4.5,1.5,5.0,3.0,5.5,"[0, 1, 1, 1, 1]",4,35.5
Brentford FC,9,4,1,4,14,14,0,13,3,1,1,1,0,3,7.5,3.0,4.0,4.5,2.0,7.0,"[-1, 1, -1, 1, 1]",1,-2.0
Brighton & Hove Albion FC,9,3,3,3,14,15,-1,12,2,2,0,1,1,3,6.0,6.0,1.5,5.0,3.5,6.0,"[0, 1, 0, 1, -1]",1,8.0
Burnley FC,9,3,1,5,12,17,-5,10,2,1,1,1,0,4,9.0,5.5,1.0,8.0,3.5,5.0,"[0, -1, -1, 1, 1]",0,-28.0
Chelsea FC,9,4,2,3,17,11,6,14,2,1,2,2,1,1,8.0,3.5,3.0,6.0,3.0,4.5,"[-1, -1, 1, 1, -1]",-1,-19.5
Crystal Palace FC,9,3,4,2,12,9,3,13,1,3,0,2,1,2,4.0,6.5,3.0,5.5,4.5,4.5,"[1, 1, -1, 0, -1]",0,-22.5
Everton FC,9,3,2,4,9,12,-3,11,2,2,1,1,0,3,4.5,6.5,3.5,4.0,3.0,6.5,"[-1, 0, 1, -1, -1]",-2,-37.0
Fulham FC,9,2,2,5,9,14,-5,8,2,1,1,0,1,4,5.5,3.5,4.5,4.0,3.0,7.5,"[1, -1, -1, -1, -1]",-3,-52.0
Leeds United FC,9,3,2,4,9,14,-5,11,2,2,1,1,0,3,11.0,4.0,1.5,6.5,4.5,4.5,"[1, 0, -1, -1, 1]",0,-25.5
Liverpool FC,9,5,0,4,16,14,2,15,3,0,1,2,0,3,10.0,2.0,1.5,7.5,2.5,4.5,"[1, -1, -1, -1, -1]",-3,-44.0
Manchester City FC,9,5,1,3,17,7,10,16,3,0,1,2,1,2,9.5,1.5,2.5,6.0,3.5,5.0,"[0, 1, 1, 1, -1]",2,5.0
Manchester United FC,9,5,1,3,15,14,1,16,4,0,1,1,1,2,7.5,1.5,5.5,3.0,4.0,6.5,"[1, -1, 1, 1, 1]",3,28.0
Newcastle United FC,9,3,3,3,9,8,1,12,3,0,2,0,3,1,9.0,1.0,4.5,4.0,5.0,4.5,"[0, -1, 1, -1, 1]",0,-30.0
Nottingham Forest FC,9,1,2,6,5,17,-12,5,1,0,3,0,2,3,5.5,2.5,5.5,5.0,3.5,6.0,"[0, -1, -1, -1, -1]",-4,-48.5
Sunderland AFC,9,5,2,2,11,7,4,17,3,1,0,2,1,2,9.0,5.0,2.0,7.5,4.0,6.0,"[0, 1, -1, 1, 1]",2,-2.0
Tottenham Hotspur FC,9,5,2,2,17,7,10,17,1,1,2,4,1,0,4.0,2.5,7.0,6.5,2.0,6.0,"[0, 0, 1, -1, 1]",1,9.0
West Ham United FC,9,1,1,7,7,20,-13,4,0,0,4,1,1,3,2.5,2.5,8.5,4.0,3.5,7.0,"[-1, 0, -1, -1, -1]",-4,-45.0
Wolverhampton Wanderers FC,9,0,2,7,7,19,-12,2,0,1,4,0,1,3,3.0,2.5,9.0,3.0,2.5,8.0,"[-1, 0, 0, -1, -1]",-3,-21.0
